0000,    9,p/s,    1,kb/s,   14,kbit
0001,    4,p/s,    0,kb/s,    7,kbit
0016,    4,p/s,    0,kb/s,    7,kbit
0017,   35,p/s,    6,kb/s,   53,kbit
0020,    0,p/s,    0,kb/s,    1,kbit
0049,   68,p/s,   12,kb/s,  102,kbit
0128,   37,p/s,    6,kb/s,   56,kbit
0161,   12,p/s,    2,kb/s,   19,kbit
0162,   13,p/s,    2,kb/s,   20,kbit
0163,   12,p/s,    2,kb/s,   19,kbit
0164,   13,p/s,    2,kb/s,   20,kbit
0165,   13,p/s,    2,kb/s,   20,kbit
0166,   12,p/s,    2,kb/s,   19,kbit
0167,   13,p/s,    2,kb/s,   20,kbit
0168,   13,p/s,    2,kb/s,   20,kbit
0169,   13,p/s,    2,kb/s,   20,kbit
0170,   13,p/s,    2,kb/s,   20,kbit
0171,   12,p/s,    2,kb/s,   19,kbit
0172,   12,p/s,    2,kb/s,   19,kbit
0173,   13,p/s,    2,kb/s,   20,kbit
0174,   13,p/s,    2,kb/s,   20,kbit
0175,   12,p/s,    2,kb/s,   19,kbit
0176,   12,p/s,    2,kb/s,   19,kbit
0177,   38,p/s,    6,kb/s,   57,kbit
0178,  362,p/s,   66,kb/s,  545,kbit
0256,   12,p/s,    2,kb/s,   19,kbit
4096,   21,p/s,    3,kb/s,   32,kbit
4098,   90,p/s,   16,kb/s,  135,kbit
4100,    7,p/s,    1,kb/s,   11,kbit
4106,   88,p/s,   16,kb/s,  132,kbit
4112,   88,p/s,   16,kb/s,  132,kbit
4113,  134,p/s,   24,kb/s,  202,kbit
4115,   70,p/s,   12,kb/s,  105,kbit
4130,  178,p/s,   32,kb/s,  267,kbit
4141,   88,p/s,   16,kb/s,  132,kbit
4142,  131,p/s,   24,kb/s,  197,kbit
4143,  132,p/s,   24,kb/s,  199,kbit
4145,  135,p/s,   24,kb/s,  203,kbit
4146,   88,p/s,   16,kb/s,  132,kbit
4148,   65,p/s,   11,kb/s,   98,kbit
4151,   64,p/s,   11,kb/s,   96,kbit
4163,  179,p/s,   32,kb/s,  269,kbit
4168,   89,p/s,   16,kb/s,  133,kbit
4169,   67,p/s,   12,kb/s,  101,kbit
4203,   66,p/s,   12,kb/s,   99,kbit
4217,   42,p/s,    7,kb/s,   63,kbit
4226,  131,p/s,   24,kb/s,  197,kbit
4259,   64,p/s,   11,kb/s,   96,kbit
4286,   64,p/s,   11,kb/s,   96,kbit
4414,   43,p/s,    7,kb/s,   65,kbit
4415,   43,p/s,    7,kb/s,   65,kbit
4417,   44,p/s,    8,kb/s,   66,kbit
4418,   43,p/s,    7,kb/s,   65,kbit
4420,   42,p/s,    7,kb/s,   63,kbit
4431,   64,p/s,   11,kb/s,   96,kbit
4432,  128,p/s,   23,kb/s,  193,kbit
4442,  128,p/s,   23,kb/s,  193,kbit
6146,   44,p/s,    8,kb/s,   66,kbit
6160,   46,p/s,    8,kb/s,   69,kbit
6189,   45,p/s,    8,kb/s,   68,kbit
6190,   46,p/s,    8,kb/s,   69,kbit
6191,   45,p/s,    8,kb/s,   68,kbit
6194,   45,p/s,    8,kb/s,   68,kbit
6196,   46,p/s,    8,kb/s,   69,kbit
6251,   46,p/s,    8,kb/s,   69,kbit
6307,   45,p/s,    8,kb/s,   68,kbit
6308,   46,p/s,    8,kb/s,   69,kbit
6334,   44,p/s,    8,kb/s,   66,kbit
6462,   43,p/s,    7,kb/s,   65,kbit
6463,   46,p/s,    8,kb/s,   69,kbit
6465,   45,p/s,    8,kb/s,   68,kbit
6466,   44,p/s,    8,kb/s,   66,kbit
6468,   45,p/s,    8,kb/s,   68,kbit
6479,   45,p/s,    8,kb/s,   68,kbit
6480,   44,p/s,    8,kb/s,   66,kbit
6490,   44,p/s,    8,kb/s,   66,kbit
8191, 1544,p/s,  283,kb/s, 2322,kbit
8192, 5829,p/s, 1070,kb/s, 8767,kbit
